OBJECTID,Zoning,MPC Case Number,Ordinance,Effective Date,District Name,I440 Impact Zone,UDO Subdisrict,GlobalID
105,Institutional Overlay,2008IN-001-002,BL2015-1183,8/14/2015 5:00:00 AM,Aquinas College,,,dabb5190-e068-4672-b44a-071e081ba3e1
106,Urban Design Overlay,2002UD-001U-10,BL2008-362,1/26/2009 6:00:00 AM,Green Hills,,,dcabf35b-403b-4e9e-b4d8-36559d5c4bc3
107,Neighborhood Conservation,2008Z-079U-10,BL2008-319,3/23/2009 5:00:00 AM,Whitland Ave,,,4fb75956-be67-4f4e-8da2-32b71609f201
108,Institutional Overlay,2008IN-002U-08,BL2009-391,3/23/2009 5:00:00 AM,Fisk University,,,29a9439e-9265-492c-a64f-3892cb8c3d17
109,Historic Preservation District,2009Z-001HP-001,BL2009-397,3/23/2009 5:00:00 AM,Tanglewood,,,7ce77fae-f9f8-4d89-871d-6d1fec01acd9
110,Urban Design Overlay,2009UD-001-011,BL2019-1749,8/23/2019 5:00:00 AM,Downtown Donelson,,,cf793940-4f72-4309-b4a8-29a3671aadb9
111,Neighborhood Landmark,2010NL-003-001,BL2010-740,10/4/2010 5:00:00 AM,The Hair Biz,,,b700ca55-83c5-467c-93cf-c64dd9789251
112,Neighborhood Landmark,2010NL-001-001,BL2010-700,8/2/2010 5:00:00 AM,358 Bellevue Rd,,,8d457584-1d78-4f06-a024-3374c0923276
113,Neighborhood Landmark,2010NL-002-001,BL2010-702,8/2/2010 5:00:00 AM,Larry's Gran Ole Garage,,,26608fe9-e921-4aa6-80c2-aaab9f97dd9b
114,Urban Design Overlay,2011UD-001-008,BL2022-1469,12/30/2022 6:00:00 AM,Primrose,,,175b3e60-27a1-436d-b0c2-401f81609769
115,Neighborhood Conservation,2011NHC-001-001,BL2011-920,7/25/2011 5:00:00 AM,Park-Elkins,,,9ec60e6c-de66-484f-aa78-e8a93b6ff4e1
116,Neighborhood Landmark,2011NL-002-001,BL2012-105,3/29/2012 5:00:00 AM,209 Danyacrest,,,ad5c7690-5bfb-4790-ab2b-112ebfc73940
117,Bed and Breakfast,95Z-113U,O95-136,1/22/1996 6:00:00 AM,, , ,ba7f8939-7f4b-47ee-8eec-a65c028e365d
